TransactionID,CustomerID,TransactionDate,Amount,Currency,PaymentMethod,Status
98,932,20/04/2022,1153.82,EUR,Debit Card,Completed
99,1939,22/04/2024,1206.46,USD,Bank Transfer,Completed
100,239,27/05/2020,3367.1,USD,Debit Card,Completed
101,388,16/02/2025,231.25,USD,Bank Transfer,Completed
102,1879,04/10/2020,3358,EUR,Debit Card,Failed
103,989,30/12/2024,154.96,GBP,Bank Transfer,Completed
104,649,09/09/2021,2525.57,USD,Debit Card,Completed
105,580,16/03/2023,849.46,EUR,Credit Card,Failed
106,1183,18/01/2021,3809.57,USD,Debit Card,Pending
107,1877,27/04/2023,3191.32,USD,Bank Transfer,Failed
108,1631,19/04/2023,3841.19,EUR,Debit Card,Pending
109,187,22/03/2025,2234.98,GBP,Debit Card,Completed
110,194,02/03/2025,4253.62,USD,Bank Transfer,Failed
111,1326,01/09/2020,2150.97,GBP,Bank Transfer,Failed
112,1112,16/12/2025,650.23,EUR,Debit Card,Completed
113,341,13/08/2025,3017.94,USD,Bank Transfer,Pending
114,1903,01/11/2020,1271.65,USD,Debit Card,Failed
115,1745,03/10/2023,979.07,USD,Credit Card,Failed
116,559,19/04/2023,3827.99,GBP,Debit Card,Pending
117,1410,29/06/2024,4328.48,EUR,Bank Transfer,Pending
118,1132,28/03/2022,3370.83,USD,Credit Card,Pending
119,493,12/01/2020,763.12,USD,Debit Card,Completed
120,795,17/10/2021,32,EUR,Debit Card,Completed
121,694,08/09/2025,1893.61,GBP,Credit Card,Failed
122,1820,24/01/2023,1135.23,GBP,Credit Card,Pending
123,444,24/10/2020,1170.5,EUR,Credit Card,Completed
124,845,12/10/2022,3736.66,USD,Debit Card,Completed
125,554,24/02/2021,3253.87,EUR,Debit Card,Pending
126,1261,03/07/2020,4247.98,USD,Credit Card,Failed
127,363,30/07/2023,3672.09,EUR,Credit Card,Pending
128,162,06/02/2024,2972.74,USD,Credit Card,Pending
129,12,18/12/2023,636.3,USD,Bank Transfer,Completed
130,1882,19/07/2020,3115.55,USD,Debit Card,Failed
131,505,07/09/2024,144.12,GBP,Bank Transfer,Pending
132,60,31/07/2021,2134.86,EUR,Debit Card,Completed
133,1660,30/07/2025,1483.18,EUR,Credit Card,Pending
134,1695,22/07/2021,4826.69,USD,Credit Card,Pending
135,1309,10/06/2021,4452.47,USD,Credit Card,Failed
136,1180,12/12/2025,128.3,GBP,Credit Card,Completed
137,917,07/03/2025,3006.56,USD,Credit Card,Failed
138,1934,04/11/2021,4586.75,EUR,Bank Transfer,Failed
139,332,19/03/2023,720.69,USD,Credit Card,Completed
140,36,04/09/2024,1470.3,USD,Bank Transfer,Pending
141,206,11/10/2023,3029.38,EUR,Credit Card,Pending
142,1120,12/06/2020,3074.36,GBP,Debit Card,Failed
143,294,13/07/2020,1271.91,USD,Bank Transfer,Completed
144,1901,02/05/2020,412.93,USD,Bank Transfer,Completed
145,965,13/11/2024,2969.34,USD,Credit Card,Completed
146,1742,10/12/2021,3424.71,USD,Debit Card,Pending
147,1361,30/09/2024,635.72,EUR,Debit Card,Completed
148,1551,28/04/2024,4621.65,EUR,Debit Card,Completed
149,1334,09/07/2021,3250.69,EUR,Credit Card,Failed
150,109,06/01/2021,3226.29,EUR,Bank Transfer,Completed
151,768,29/03/2025,1497.42,USD,Credit Card,Completed
152,43,14/05/2022,73.1,EUR,Debit Card,Pending
153,1379,23/02/2022,2774.01,GBP,Bank Transfer,Failed
154,1134,10/03/2022,4256.5,USD,Bank Transfer,Completed
155,251,26/07/2024,2574.73,EUR,Bank Transfer,Failed
156,326,14/03/2024,2746.62,GBP,Bank Transfer,Failed
157,1814,08/06/2025,3037.64,EUR,Debit Card,Failed
158,508,20/10/2025,479.35,GBP,Debit Card,Failed
159,1748,21/02/2025,409.79,USD,Credit Card,Completed
160,1959,19/07/2021,2223.3,GBP,Credit Card,Pending
161,1949,02/10/2025,4368.72,USD,Credit Card,Pending
162,611,30/04/2024,2321.75,EUR,Debit Card,Completed
163,1919,06/10/2025,2384.92,USD,Debit Card,Completed
164,129,15/02/2025,2447.73,EUR,Debit Card,Completed
165,852,08/01/2020,1579.62,EUR,Debit Card,Failed
166,947,18/12/2025,3693.84,GBP,Debit Card,Completed
167,709,07/02/2024,602.21,EUR,Debit Card,Pending
168,212,02/07/2024,1287.43,USD,Debit Card,Pending
169,1703,30/11/2024,2132.56,GBP,Debit Card,Failed
170,1811,19/06/2020,937.27,GBP,Debit Card,Completed
171,188,14/01/2023,1541.11,GBP,Debit Card,Completed
172,111,26/05/2025,3983.56,GBP,Debit Card,Failed
173,1067,28/07/2025,2757.5,EUR,Bank Transfer,Failed
174,858,15/11/2022,1493.89,EUR,Credit Card,Pending
175,1101,12/07/2022,3858.7,GBP,Debit Card,Pending
176,440,29/07/2020,4162.92,EUR,Debit Card,Completed
177,435,18/02/2022,2373.45,USD,Debit Card,Failed
178,439,07/12/2024,3190.68,GBP,Debit Card,Pending
179,411,02/03/2021,1362.57,GBP,Bank Transfer,Pending
180,902,30/07/2022,2994.98,GBP,Debit Card,Failed
181,1393,28/05/2023,4490.19,USD,Debit Card,Failed
182,1256,23/11/2020,2917.74,EUR,Debit Card,Completed
183,1910,20/05/2025,1827.29,GBP,Bank Transfer,Pending
184,267,28/04/2025,3503.66,GBP,Debit Card,Completed
185,1894,16/03/2025,1689.83,GBP,Bank Transfer,Pending
186,1587,10/07/2024,2650.92,USD,Debit Card,Pending
187,1845,22/08/2021,4620.92,EUR,Bank Transfer,Failed
188,1293,23/08/2021,4166.86,EUR,Bank Transfer,Pending
189,1590,03/12/2025,3379.94,EUR,Bank Transfer,Failed
190,1099,12/02/2024,3782.49,EUR,Debit Card,Pending
191,366,15/07/2024,2064.34,USD,Credit Card,Completed
192,1462,17/07/2025,1258.14,EUR,Debit Card,Pending
193,791,16/01/2022,4846.76,GBP,Credit Card,Failed
194,538,09/07/2022,314.87,EUR,Credit Card,Failed
195,1491,08/03/2022,2499.02,GBP,Credit Card,Failed
196,963,20/12/2021,575.13,USD,Debit Card,Completed
197,500,15/11/2021,580.16,USD,Credit Card,Pending
198,1241,04/08/2022,5.93,GBP,Credit Card,Pending
199,507,01/05/2024,3084.06,USD,Credit Card,Completed
200,1270,31/08/2020,1987.76,EUR,Credit Card,Failed
201,1344,15/02/2025,4773.06,EUR,Debit Card,Pending
202,1193,25/11/2020,2389.69,EUR,Debit Card,Failed
203,391,28/02/2024,2910.77,GBP,Debit Card,Failed
204,742,03/07/2025,1693.73,USD,Bank Transfer,Pending
205,513,06/11/2024,1961.75,USD,Debit Card,Failed
206,930,19/03/2024,3673.16,USD,Debit Card,Completed
207,427,16/05/2021,297.53,GBP,Credit Card,Completed
208,1537,19/10/2025,2978.17,EUR,Bank Transfer,Completed
209,457,17/10/2020,586.81,USD,Bank Transfer,Pending
210,920,23/05/2025,2652.2,EUR,Bank Transfer,Completed
211,1835,30/07/2023,2965.89,GBP,Bank Transfer,Completed
212,377,25/03/2023,1485.15,GBP,Debit Card,Completed
213,528,12/07/2021,4350.34,EUR,Credit Card,Completed
214,1055,24/02/2021,407.67,USD,Debit Card,Failed
215,304,30/07/2022,3776.89,EUR,Bank Transfer,Completed
216,1063,25/07/2023,2386.81,GBP,Bank Transfer,Completed
217,108,01/01/2025,3918.43,USD,Credit Card,Completed
218,693,11/09/2020,4704.7,EUR,Bank Transfer,Failed
219,257,17/03/2021,4938.81,GBP,Bank Transfer,Pending
220,1114,04/08/2021,3018.65,USD,Bank Transfer,Completed
221,1688,19/01/2020,2583.84,GBP,Credit Card,Failed
222,607,12/10/2023,57.42,EUR,Credit Card,Failed
223,1962,11/09/2025,749.96,GBP,Bank Transfer,Completed
224,1548,11/05/2022,115.22,GBP,Bank Transfer,Pending
225,905,23/06/2023,435.23,GBP,Debit Card,Failed
226,1783,13/04/2024,1405.27,GBP,Credit Card,Pending
227,1726,27/09/2020,3053.84,GBP,Bank Transfer,Failed
228,1511,20/06/2020,277.55,EUR,Credit Card,Failed
229,259,04/03/2023,4512.5,EUR,Bank Transfer,Pending
230,1772,25/02/2021,1085.58,GBP,Bank Transfer,Completed
231,1953,02/08/2021,1001.06,USD,Debit Card,Completed
232,1220,30/05/2022,2520.22,USD,Credit Card,Pending
233,22,13/01/2024,4130.53,EUR,Debit Card,Pending
234,134,20/12/2023,3923.11,GBP,Debit Card,Pending
235,1209,09/05/2024,1240.76,GBP,Bank Transfer,Pending
236,1887,29/08/2024,3027.42,USD,Bank Transfer,Completed
237,220,27/06/2020,3130.13,GBP,Debit Card,Failed
238,265,11/08/2022,928.27,EUR,Credit Card,Completed
239,416,26/04/2024,1420.4,USD,Debit Card,Completed
240,1467,15/09/2023,2717.28,USD,Debit Card,Completed
241,890,13/07/2022,66.64,USD,Debit Card,Failed
242,1411,24/09/2023,3712.76,USD,Credit Card,Completed
243,29,04/02/2020,260.5,GBP,Credit Card,Pending
244,623,11/08/2021,4762.31,GBP,Credit Card,Failed
245,1091,22/06/2022,1356.75,USD,Credit Card,Failed
246,122,05/12/2020,2374.8,GBP,Credit Card,Failed
247,1715,19/08/2021,133.92,USD,Debit Card,Failed
248,1160,18/09/2023,4972.94,GBP,Debit Card,Failed
249,9,13/10/2022,4588.13,EUR,Bank Transfer,Pending
250,839,25/06/2024,4112.58,GBP,Bank Transfer,Completed
251,1814,30/11/2025,3229.63,EUR,Debit Card,Failed
252,1,23/02/2024,2948.13,USD,Credit Card,Pending
253,1736,01/11/2020,853.59,GBP,Debit Card,Failed
254,1489,19/09/2024,620.8,USD,Debit Card,Pending
255,1392,23/02/2021,1793.91,GBP,Debit Card,Pending
256,171,13/05/2020,3423.15,EUR,Debit Card,Failed
257,1451,02/04/2024,4640.62,GBP,Debit Card,Failed
258,1579,12/02/2025,1433.07,USD,Credit Card,Failed
259,1339,04/09/2023,3353.82,EUR,Credit Card,Completed
260,179,15/12/2022,2056.89,GBP,Bank Transfer,Pending
261,111,24/12/2025,2080.14,GBP,Debit Card,Failed
262,468,24/03/2022,4942.76,USD,Credit Card,Failed
263,323,22/06/2022,2751.57,EUR,Debit Card,Completed
264,1816,27/05/2020,899.26,USD,Debit Card,Completed
265,367,25/12/2022,2940.55,USD,Bank Transfer,Pending
266,813,23/06/2020,4612.56,GBP,Credit Card,Completed
267,495,11/02/2023,3140.59,GBP,Credit Card,Failed
268,1463,16/03/2023,4962.61,USD,Credit Card,Completed
269,1333,03/11/2022,4153.96,USD,Debit Card,Failed
270,1452,17/10/2024,1999.67,EUR,Debit Card,Completed
271,563,16/02/2025,4053.29,EUR,Credit Card,Pending
272,1756,26/02/2025,3659.15,GBP,Debit Card,Completed
273,1313,12/04/2024,4021.81,GBP,Debit Card,Completed
274,253,15/04/2023,4786.2,GBP,Debit Card,Failed
275,1635,21/06/2024,3263.11,GBP,Bank Transfer,Pending
276,1192,20/10/2020,2016.68,GBP,Credit Card,Completed
277,1367,16/10/2022,4982.65,GBP,Bank Transfer,Failed
278,528,22/02/2021,1983.02,EUR,Credit Card,Completed
279,1582,02/01/2024,4746.62,EUR,Debit Card,Completed
280,85,02/11/2024,642.21,USD,Credit Card,Failed
281,1513,13/10/2025,1775.11,USD,Debit Card,Pending
282,627,04/03/2020,3655.74,GBP,Credit Card,Pending
283,1899,07/07/2022,2947.16,EUR,Debit Card,Failed
284,1613,05/05/2021,1752.52,GBP,Credit Card,Pending
285,1487,24/04/2025,2361.34,USD,Credit Card,Failed
286,919,25/02/2025,2853.58,USD,Bank Transfer,Failed
287,1490,19/08/2023,130.87,USD,Bank Transfer,Pending
288,682,04/03/2023,3902.16,USD,Credit Card,Failed
289,340,02/10/2023,3476.29,USD,Credit Card,Failed
290,109,22/10/2020,3052.49,USD,Credit Card,Completed
291,1613,18/11/2025,4560.24,EUR,Bank Transfer,Failed
292,1628,28/01/2020,2570.97,USD,Bank Transfer,Completed
293,1561,27/02/2020,37.29,USD,Credit Card,Pending
294,134,20/06/2022,124.61,EUR,Bank Transfer,Completed
295,1678,06/04/2023,647.34,USD,Credit Card,Failed
296,1909,10/10/2023,309.21,GBP,Debit Card,Pending
297,1555,25/05/2020,3573.5,GBP,Debit Card,Completed
298,1908,07/11/2024,1271.8,USD,Bank Transfer,Failed
299,1,12/07/2025,1381.31,USD,Bank Transfer,Completed
300,1969,22/05/2021,612.87,EUR,Credit Card,Completed
301,1506,10/12/2020,1583.81,EUR,Credit Card,Failed
302,221,22/04/2025,4042.93,EUR,Credit Card,Completed
303,1049,11/06/2021,1482.26,EUR,Debit Card,Completed
304,841,22/07/2024,1640.47,USD,Credit Card,Failed
305,481,14/02/2025,997.23,EUR,Debit Card,Failed
306,1463,26/11/2023,1535.55,GBP,Credit Card,Pending
307,1917,14/02/2020,2942.02,EUR,Debit Card,Failed
308,1658,02/03/2025,4158.55,USD,Bank Transfer,Completed
309,1515,28/09/2022,3864.49,GBP,Bank Transfer,Failed
310,756,30/09/2020,1420.01,EUR,Debit Card,Completed
311,1780,15/01/2021,4060.27,EUR,Debit Card,Pending
312,15,30/05/2021,3248.65,GBP,Bank Transfer,Pending
313,1545,06/03/2023,1471.21,GBP,Debit Card,Completed
314,1233,28/09/2020,1667.24,GBP,Debit Card,Pending
315,1913,28/12/2022,2295.3,EUR,Bank Transfer,Failed
316,788,27/10/2025,3316.82,USD,Credit Card,Failed
317,1794,26/07/2022,3680.91,EUR,Debit Card,Pending
318,1213,23/01/2023,668.98,EUR,Bank Transfer,Failed
319,67,09/07/2020,1159.25,EUR,Credit Card,Failed
320,521,16/09/2022,1284.68,EUR,Debit Card,Completed
321,1635,02/04/2023,2502.79,GBP,Credit Card,Completed
322,1292,02/07/2021,1199.14,USD,Bank Transfer,Failed
323,73,17/07/2020,1566.43,GBP,Debit Card,Pending
324,1848,25/07/2021,1052.4,GBP,Credit Card,Completed
325,1832,29/01/2025,3229.78,EUR,Bank Transfer,Pending
326,1175,27/06/2020,4432.01,GBP,Credit Card,Pending
327,735,06/11/2025,763.67,USD,Debit Card,Failed
328,788,27/07/2020,916.38,USD,Bank Transfer,Failed
329,665,15/07/2024,2877.43,USD,Debit Card,Pending
330,1130,24/05/2024,1837.97,EUR,Bank Transfer,Pending
331,1123,16/08/2021,1036.87,USD,Debit Card,Pending
332,852,30/04/2023,3182.16,USD,Debit Card,Failed
333,1750,24/01/2025,39.04,GBP,Credit Card,Failed
334,894,22/10/2023,4607.96,USD,Debit Card,Pending
335,384,04/08/2020,1622.04,EUR,Debit Card,Pending
336,1571,30/01/2024,4781.68,EUR,Bank Transfer,Pending
337,1543,13/03/2023,2433.44,USD,Debit Card,Failed
338,232,10/09/2024,1246.46,GBP,Debit Card,Completed
339,1756,26/04/2024,2731.89,EUR,Debit Card,Completed
340,173,30/08/2022,4357.22,GBP,Bank Transfer,Completed
341,1546,01/06/2021,3453.16,EUR,Debit Card,Failed
342,215,21/12/2025,3414.29,GBP,Debit Card,Failed
343,1945,02/01/2024,2505.39,USD,Debit Card,Pending
344,1176,31/07/2023,4012.97,GBP,Debit Card,Completed
345,1190,27/04/2023,690.81,USD,Bank Transfer,Pending
346,1626,18/11/2021,1647.47,GBP,Credit Card,Failed
347,1208,09/03/2025,3760.37,GBP,Bank Transfer,Completed
348,1352,16/12/2024,1450.76,GBP,Credit Card,Pending
349,1750,18/12/2022,4017.21,USD,Debit Card,Failed
350,1645,09/07/2020,414.42,EUR,Credit Card,Completed
351,708,13/01/2021,3193.56,GBP,Credit Card,Failed
352,237,07/09/2021,4299.1,EUR,Debit Card,Pending
353,1,20/10/2024,1092.47,USD,Bank Transfer,Pending
354,967,20/06/2020,976.7,GBP,Debit Card,Failed
355,1147,22/04/2022,3384.84,USD,Bank Transfer,Pending
356,1953,20/11/2021,2011.96,USD,Credit Card,Pending
357,165,17/07/2025,1542.83,EUR,Bank Transfer,Completed
358,209,13/11/2023,4906.3,EUR,Debit Card,Failed
359,3,06/01/2021,4669.66,GBP,Bank Transfer,Completed
360,611,25/04/2020,2346.61,EUR,Bank Transfer,Pending
361,1392,02/09/2023,1818.1,EUR,Bank Transfer,Pending
362,1809,13/11/2022,700.54,USD,Debit Card,Completed
363,1874,09/12/2022,1534.97,GBP,Bank Transfer,Failed
364,1522,20/09/2023,359.23,GBP,Bank Transfer,Pending
365,1051,15/07/2021,3158.72,USD,Credit Card,Pending
366,1800,21/01/2021,3149.99,GBP,Bank Transfer,Pending
367,973,16/10/2023,665.78,USD,Debit Card,Completed
368,1512,17/12/2020,2915.23,EUR,Debit Card,Pending
369,1280,22/03/2025,2723.57,EUR,Bank Transfer,Failed
370,1025,29/06/2021,1848.84,GBP,Debit Card,Pending
371,1260,07/06/2022,862.12,GBP,Debit Card,Pending
372,1106,13/06/2025,4400.17,USD,Credit Card,Failed
373,1951,09/07/2022,696.17,GBP,Debit Card,Completed
374,392,12/10/2023,3317.42,USD,Bank Transfer,Failed
375,1592,05/12/2020,2113.85,USD,Bank Transfer,Failed
376,757,11/11/2022,982.58,USD,Credit Card,Failed
377,1808,27/07/2022,2292.85,EUR,Debit Card,Failed
378,442,09/05/2020,4654.47,USD,Debit Card,Completed
379,1959,14/02/2024,3733.08,GBP,Credit Card,Failed
380,593,25/09/2022,4229.04,USD,Debit Card,Failed
381,1093,31/03/2024,1885.19,GBP,Credit Card,Completed
382,1189,20/02/2024,2396.13,GBP,Bank Transfer,Pending
383,1450,31/01/2025,6.13,EUR,Bank Transfer,Completed
384,612,02/01/2024,3765.48,USD,Debit Card,Completed
385,251,20/06/2024,3621.53,USD,Bank Transfer,Failed
386,961,13/06/2022,2155.53,USD,Credit Card,Failed
387,216,12/12/2025,1747.42,GBP,Bank Transfer,Pending
388,1707,07/10/2025,3108.55,EUR,Credit Card,Failed
389,284,23/11/2025,557.46,USD,Credit Card,Completed
390,228,27/01/2024,1167.02,USD,Credit Card,Failed
391,1906,16/04/2021,199.59,GBP,Credit Card,Failed
392,13,07/11/2022,2263.75,EUR,Credit Card,Completed
393,113,16/08/2020,3434.14,EUR,Bank Transfer,Completed
394,189,01/03/2021,4387.87,USD,Debit Card,Completed
395,658,07/07/2022,3359.58,GBP,Bank Transfer,Failed
396,1822,15/05/2022,2306.36,USD,Debit Card,Pending
397,1859,19/10/2025,2418.74,USD,Credit Card,Failed
398,1642,12/08/2023,1400.83,GBP,Bank Transfer,Pending
399,1530,11/07/2020,4433.08,EUR,Bank Transfer,Failed
400,1841,21/02/2020,4315.3,USD,Bank Transfer,Failed
401,1821,12/02/2025,4294.51,GBP,Debit Card,Completed
402,1455,10/02/2025,4770.44,USD,Bank Transfer,Pending
403,1720,30/06/2025,347.9,EUR,Debit Card,Pending
404,840,28/08/2020,689.42,EUR,Debit Card,Pending
405,1408,23/03/2020,2143.64,EUR,Credit Card,Pending
406,1721,08/08/2022,1123.5,USD,Debit Card,Pending
407,574,15/09/2022,4380.15,EUR,Credit Card,Failed
408,1236,13/12/2025,2467.32,EUR,Bank Transfer,Completed
409,425,07/06/2025,4767.25,EUR,Bank Transfer,Pending
410,112,01/05/2020,1493.84,USD,Debit Card,Completed
411,398,11/09/2022,4222.35,GBP,Credit Card,Completed
412,1464,25/07/2023,3591.07,GBP,Credit Card,Failed
413,1911,14/02/2024,4547.6,EUR,Bank Transfer,Failed
414,1917,30/03/2022,4323.94,USD,Debit Card,Pending
415,710,10/05/2025,863.52,EUR,Bank Transfer,Failed
416,897,26/05/2025,699.32,USD,Credit Card,Completed
417,1915,01/03/2020,2416.84,GBP,Debit Card,Pending
418,538,05/03/2020,4182.92,GBP,Bank Transfer,Completed
419,1728,18/06/2021,4904.07,USD,Debit Card,Pending
420,693,25/11/2025,1448.4,USD,Credit Card,Completed
421,814,01/10/2022,1969.64,EUR,Credit Card,Failed
422,590,05/11/2022,803.6,EUR,Bank Transfer,Pending
423,659,02/01/2020,841.99,EUR,Debit Card,Pending
424,125,09/01/2023,2519.21,GBP,Credit Card,Pending
425,1862,19/03/2023,3698.65,EUR,Bank Transfer,Failed
426,1364,08/05/2020,783.09,GBP,Bank Transfer,Completed
427,501,06/05/2023,3966.68,GBP,Bank Transfer,Pending
428,902,23/09/2025,933.88,USD,Credit Card,Pending
429,535,04/12/2023,1053.44,EUR,Bank Transfer,Completed
430,1871,03/12/2022,4848.23,USD,Bank Transfer,Pending
431,1121,01/07/2021,899.58,GBP,Bank Transfer,Completed
432,704,27/05/2023,4739.16,USD,Debit Card,Pending
433,1853,09/05/2024,4146.61,EUR,Debit Card,Failed
434,848,21/08/2021,3103.11,USD,Credit Card,Completed
435,1744,19/09/2023,2393.4,GBP,Debit Card,Pending
436,1571,27/10/2025,3144.69,USD,Credit Card,Pending
437,413,29/06/2021,2254.16,USD,Bank Transfer,Completed
438,681,10/09/2025,3484.32,USD,Bank Transfer,Failed
439,1067,10/04/2025,4102.52,USD,Bank Transfer,Failed
440,1597,18/04/2023,3180.05,GBP,Debit Card,Failed
441,1127,13/08/2020,3445.61,USD,Bank Transfer,Pending
442,917,13/12/2025,1212.98,EUR,Bank Transfer,Pending
443,1121,22/10/2025,4838.88,GBP,Debit Card,Completed
444,1706,16/01/2025,3215.76,USD,Bank Transfer,Completed
445,56,20/12/2021,3481.92,GBP,Bank Transfer,Failed
446,1551,27/07/2021,4120.87,USD,Debit Card,Completed
447,1745,12/05/2021,2365.21,USD,Credit Card,Failed
448,639,01/12/2025,4419,EUR,Credit Card,Completed
449,1295,12/09/2022,1583.93,USD,Credit Card,Pending
450,74,10/04/2020,1805.17,GBP,Credit Card,Completed
451,1141,10/02/2020,407.5,USD,Credit Card,Completed
452,1448,31/12/2020,1493.4,GBP,Credit Card,Pending
453,657,28/12/2021,4554.58,USD,Credit Card,Completed
454,1154,07/10/2023,2421.88,GBP,Credit Card,Pending
455,1342,20/07/2023,812.66,USD,Debit Card,Completed
456,368,22/01/2023,1032.94,GBP,Credit Card,Failed
